SO;DN;INV;Posting Date;Due Date;Customer;Qty;UOM;Territory;Sales Term;Grand Total
SO05276;DN04434;INV03466;2012-12-18;2013-01-01;Karunia Jaya Bahagia 1;500;Sak;Medan;S Terms TOP 14 Day;20125000.05
SO05270;DN04435;INV03467;2012-12-18;2012-12-18;Asia Maju Rantau 1;500;Sak;Rapakoba;S Terms CBD;21000000.19
SO05247;DN04436;INV03468;2012-12-18;2012-12-18;Mekar Jaya T. Balai 1;500;Sak;Serkibata;S Terms CBD;20000001.17
SO05196;DN04433;INV03465;2012-12-18;2013-01-17;Sumber Ilham Medan 1;500;Sak;Medan;S Terms TOP 30 Day;20250001.30
SO05182;DN04432;INV03464;2012-12-18;2012-12-18;Rezeki Makmur T . Balai 1;500;Sak;Serkibata;S Terms CBD;20000001.17
SO05269;DN04429;INV03461;2012-12-17;2012-12-17;Asia Maju Rantau 1;500;Sak;Rapakoba;S Terms CBD;21000000.19
SO05267;DN04427;INV03459;2012-12-17;2012-12-31;Bintang Karya Mandiri Baganbatu 1;500;Sak;Rapakoba;S Terms TOP 14 Day;21500001.56
SO05254;DN04430;INV03462;2012-12-17;2012-12-17;Hartono Perdagangan 1;500;Sak;Serkibata;S Terms CBD;19150000.09
SO05253;DN04428;INV03460;2012-12-17;2012-12-31;Maju Jaya Linsum 1;500;Sak;Rapakoba;S Terms TOP 14 Day;20750001.14
SO05252;DN04423;INV03455;2012-12-17;2012-12-31;Harapan Baru Simalungun 1;500;Sak;Sibatopasa;S Terms TOP 14 Day;21375001.81
SO05251;DN04425;INV03457;2012-12-17;2012-12-17;Sumber Pembangunan Aeknabara 1;500;Sak;Rapakoba;S Terms CBD;21250001.86
SO05250;DN04424;INV03456;2012-12-17;2012-12-17;Sumber Pembangunan Aeknabara 1;500;Sak;Rapakoba;S Terms CBD;21250001.86
SO05244;DN04412;INV03444;2012-12-17;2012-12-16;Pala Pintu Siantar 1;500;Sak;Sibatopasa;S Terms CBD;20000001.17
SO05242;DN04422;INV03454;2012-12-17;2012-12-31;Bintang Karya Mandiri Baganbatu 1;500;Sak;Rapakoba;S Terms TOP 14 Day;21500001.56
SO05239;DN04415;INV03447;2012-12-17;2012-12-16;Kencana Agung Johor 1;500;Sak;Medan;DO Terms;19750000.30
SO05237;DN04419;INV03451;2012-12-17;2012-12-16;Harapan Jaya Alfalah 1;500;Sak;Medan;S Terms CBD;20000001.17
SO05230;DN04421;INV03453;2012-12-17;2012-12-16;Hartono Perdagangan 1;500;Sak;Serkibata;S Terms CBD;19150000.09
SO05227;DN04413;INV03445;2012-12-17;2012-12-16;Martimbul Kisaran 1;500;Sak;Serkibata;S Terms CBD;20000001.17
SO05222;DN04431;INV03463;2012-12-17;2012-12-17;Bangunan Sejati Medan 1;500;Sak;Medan;S Terms CBD;20000001.17
SO05221;DN04411;INV03443;2012-12-17;2012-12-16;Kalijati Binjai 1;500;Sak;Binlangkar;S Terms CBD;20500000.67
SO05195;DN04420;INV03452;2012-12-17;2013-01-17;Sumber Ilham Medan 1;500;Sak;Medan;S Terms TOP 30 Day;20250001.30
SO05139;DN04416;INV03448;2012-12-17;2012-12-31;Karunia Jaya Johor 1;500;Sak;Medan;S Terms TOP 14 Day;20125000.44
SO05136-2;DN04426;INV03458;2012-12-17;2012-12-17;Desa Maju Polonia 1;500;Sak;Medan;S Terms CBD;20000001.17
SO05086;DN04414;INV03446;2012-12-17;2012-12-16;Berkat Perbaungan 1;500;Sak;Serkibata;DO Terms;19750000.30
SO05243;DN04410;INV03442;2012-12-15;2012-12-14;Aneka Delitua 1;500;Sak;Medan;S Terms CBD;20000001.17
