SO;DN;INV;Posting Date;Due Date;Customer;Qty;UOM;Territory;Sales Term;Grand Total
SO04935;DN04114;INV03128;2012-11-30;2012-11-29;Sinar Madani Gemilang Medan 1;500;Sak;Medan;S Terms CBD;20,500,001
SO04934;DN04115;INV03127;2012-11-30;2012-11-29;Sinar Madani Gemilang Medan 1;500;Sak;Medan;S Terms CBD;20,500,001
SO04932;DN04113;INV03129;2012-11-30;2012-11-29;Bangun Sari Batu Bara 1;500;Sak;Serkibata;S Terms CBD;20,000,001
SO04919;DN04116;INV03126;2012-11-30;2012-12-14;Tek Sue Medan 1 (CV. Cakrawala Mega Konstruksi) - GPB;500;Sak;Medan;S Terms TOP 14 Day;20,400,001
SO04918;DN04117;INV03125;2012-11-30;2012-11-29;Romorajunt Medan 1;500;Sak;Medan;S Terms CBD;21,500,000
SO04917;DN04112;INV03130;2012-11-30;2012-12-14;Harapan Aulia Tembung 1;500;Sak;Tatemlukam;S Terms TOP 14 Day;20,125,000
SO04913;DN04107;INV03135-1;2012-11-30;2012-11-29;Sumber Pembangunan Aeknabara 1;500;Sak;Rapakoba;S Terms CBD;21,250,000
SO04912;DN04097;INV03144;2012-11-30;2012-11-29;Asia Maju Rantau 1;500;Sak;Rapakoba;S Terms CBD;21,000,000
SO04910;DN04095;INV03146;2012-11-30;2012-11-29;Bima Maju Binjai 1;500;Sak;Binlangkar;S Terms CBD;20,250,001
SO04908;DN04111;INV03131;2012-11-30;2012-11-29;Aneka Delitua 1;500;Sak;Medan;S Terms CBD;20,000,000
SO04903;DN04110;INV03132;2012-11-30;2012-12-14;Setia Jaya Tembung 1;500;Sak;Tatemlukam;S Terms TOP 14 Day;20,125,001
SO04901;DN04106;INV03136;2012-11-30;2012-11-29;Martimbul Kisaran 1;500;Sak;Serkibata;S Terms CBD;20,000,000
SO04897;DN04108;INV03134;2012-11-30;2012-11-29;Rezeki Makmur T . Balai 1;500;Sak;Serkibata;S Terms CBD;20,000,016
SO04889;DN04104;INV03138;2012-11-30;2012-12-30;Karya Jaya Laut Dendang 1;500;Sak;Tatemlukam;S Terms TOP 30 Day;20,375,001
SO04888;DN04094;INV03171;2012-11-30;2012-11-29;Usaha Baru Batangkuis 1;500;Sak;Tatemlukam;S Terms CBD;20,000,000
SO04885;DN04105;INV03137;2012-11-30;2012-12-14;Indomas Kisaran 1;500;Sak;Serkibata;S Terms TOP 14 Day;20,125,001
SO04884;DN04103;INV03139;2012-11-30;2012-12-14;Karunia Jaya Johor 1;500;Sak;Medan;S Terms TOP 14 Day;20,125,000
SO04883;DN04109;INV03133;2012-11-30;2012-12-14;Mandiri Jaya Marendal 1;500;Sak;Medan;S Terms TOP 14 Day;20,125,000
SO04877;DN04098;INV03143;2012-11-30;2012-11-29;Tetap Jaya Kisaran 1;500;Sak;Serkibata;S Terms CBD;20,000,000
SO04875;DN04092;INV03148;2012-11-30;2012-11-29;Sinar Madani Gemilang Medan 1;500;Sak;Medan;S Terms CBD;20,500,000
SO04856;DN04099;INV03142;2012-11-30;2012-11-29;Hartono Perdagangan 1;500;Sak;Serkibata;S Terms CBD;19,150,000
SO04851;DN04101;INV03141;2012-11-30;2012-11-27;Tetap Jaya Tebing 1;500;Sak;Serkibata;DO Terms;19,750,000
SO04842;DN04096;INV03145;2012-11-30;2012-11-21;Berkat Perbaungan 1;500;Sak;Serkibata;DO Terms;19,750,000
SO04840;DN04100;INV03170;2012-11-30;2012-11-29;US Siantar 1;500;Sak;Sibatopasa;S Terms CBD;20,000,000
SO04784;DN04102;INV03169;2012-11-30;2012-11-02;Utama Bangunan Batubara 1;500;Sak;Serkibata;DO Terms;19,650,000
SO04911;DN04085;INV03101;2012-11-29;2012-12-13;Usaha Baru Damuli 1;500;Sak;Rapakoba;S Terms TOP 14 Day;20,750,001
SO04909;DN04086;INV03100;2012-11-29;2012-11-28;Kencana Agung Johor 1;500;Sak;Medan;DO Terms;19,750,000
SO04905;DN04083;INV03103;2012-11-29;2012-11-28;Bahagia Jaya By pass 1;500;Sak;Medan;S Terms CBD;20,000,000
SO04904;DN04084;INV03102;2012-11-29;2012-11-28;Kalijati Binjai 1;500;Sak;Binlangkar;S Terms CBD;20,500,001
SO04900;DN04091;INV03079;2012-11-29;2012-11-28;Sinar Jaya Perbaungan 1;500;Sak;Serkibata;S Terms CBD;20,000,000
SO04894;DN04089;INV03082;2012-11-29;2012-12-13;Bintang Karya Mandiri Baganbatu 1;500;Sak;Rapakoba;S Terms TOP 14 Day;21,500,001
SO04893;DN04077;INV03109;2012-11-29;2012-11-28;Asia Maju Rantau 1;500;Sak;Rapakoba;S Terms CBD;21,000,000
