SO;DN;INV;Posting Date;Due Date;Customer;Qty;UOM;Territory;Sales Term;Grand Total
SO04325;DN03539;INV02551;10/31/2012;10/30/2012;Tetap Jaya Tebing 1;500;Sak;Serkibata;DO Terms;19750000.01
SO04239;DN03540;INV02552;10/31/2012;10/30/2012;Utama Bangunan Batubara 1;500;Sak;Serkibata;DO Terms;19650005.74
SO04327-1;DN03521;INV02523;10/30/2012;10/29/2012;Ahuat Tanjung Leidong 1;500;Sak;Rapakoba;S Terms CBD;20250000.45
SO04320;DN03517;INV02519;10/30/2012;10/29/2012;Anggiat Siantar 1;500;Sak;Sibatopasa;S Terms CBD;20000000.00
SO04145;DN03520;INV02522;10/30/2012;10/29/2012;Utama Bangunan Batubara 1;500;Sak;Serkibata;DO Terms;19650065.00
SO04262;DN03503;INV02549;10/29/2012;10/28/2012;Tiga Saudara Tebing 1;500;Sak;Serkibata;DO Terms;19750000.01
SO04261;DN03492;INV02532;10/27/2012;10/26/2012;Tiga Saudara Tebing 1;500;Sak;Serkibata;DO Terms;19750000.01
SO04255;DN03500;INV02543;10/27/2012;10/26/2012;Ahuat Tanjung Leidong 1;500;Sak;Rapakoba;S Terms CBD;20250000.45
SO04203;DN03489;INV02528;10/27/2012;10/26/2012;Utama Bangunan Batubara 1;500;Sak;Serkibata;DO Terms;19650005.74
SO04308;DN03475;INV02508;10/25/2012;10/24/2012;Linsa Pangururan 1;450;Sak;Sibatopasa;S Terms CBD;17325000.00
SO04249;DN03480;INV02512;10/25/2012;10/24/2012;Bahagia Jaya By pass 1;500;Sak;Medan;S Terms CBD;20000000.00
SO04297;DN03445;INV02492;10/24/2012;10/23/2012;Bahagia Jaya By pass 1;500;Sak;Medan;S Terms CBD;20000000.00
SO04280;DN03447;INV02494;10/24/2012;10/23/2012;Mitra Perkasa Simalungun 1;500;Sak;Sibatopasa;S Terms CBD;20749999.99
SO04258;DN03451;INV02498;10/24/2012;10/23/2012;Surya Agung Tembung 1;500;Sak;Tatemlukam;S Terms CBD;20000000.00
SO04207;DN03440;INV02487;10/24/2012;10/23/2012;Permata Indah Patumbak 1;500;Sak;Medan;S Terms CBD;20000005.00
SO04180;DN03470;INV02503;10/24/2012;10/23/2012;US Siantar 1;500;Sak;Sibatopasa;S Terms CBD;20000000.00
