SO;DN;INV;Posting Date;Due Date;Customer;Qty;UOM;Territory;Sales Term;Grand Total
SO03850;DN03053;INV02094;2012-09-29;2012-10-13;Tek Sue Medan 1;500;Sak;Medan;S Terms TOP 14 Day;20500004.20
SO03849;DN03051;INV02092;2012-09-29;2012-09-28;Sinar Jaya Perbaungan 1;500;Sak;Serkibata;S Terms CBD;20000002.75
SO03848;DN03054;INV02095;2012-09-29;2012-09-28;Sejahterah Perdagangan 1;500;Sak;Serkibata;S Terms CBD;20000002.75
SO03847;DN03041;INV02083;2012-09-29;2012-09-28;Surbakti Berastagi 1;500;Sak;Binlangkar;S Terms CBD;21250000.85
SO03846;DN03046;INV02087;2012-09-29;2012-10-13;Klumpang Jaya Klumpang 1;500;Sak;Medan;S Terms TOP 14 Day;20250003.48
SO03845;DN03039;INV02081;2012-09-29;2012-09-28;Karunia Jaya Johor 1;500;Sak;Medan;S Terms CBD;20000002.75
SO03844;DN03040;INV02082;2012-09-29;2012-10-13;Usaha Baru Tanjung Morawa 1;500;Sak;Medan;S Terms TOP 14 Day;20375001.08
SO03843;DN03038;INV02080;2012-09-29;2012-10-13;Berkat Baru Helvetia Medan 1;500;Sak;Medan;S Terms TOP 14 Day;20125000.35
SO03842;DN03047;INV02088;2012-09-29;2012-09-28;Kencana Agung Johor 1;500;Sak;Medan;DO Terms;19750002.03
SO03841;DN03049;INV02090;2012-09-29;2012-09-28;Andi Jaya Patumbak 1;500;Sak;Medan;S Terms CBD;20000002.75
SO03840;DN03052;INV02093;2012-09-29;2012-09-28;Asia Maju Rantau 1;500;Sak;Rapakoba;S Terms CBD;21000000.13
SO03839;DN03055;INV02096;2012-09-29;2012-10-13;Berkat Usaha Tani Kp. Pajak 1;500;Sak;Rapakoba;S Terms TOP 14 Day;21000000.13
SO03838;DN03045;INV02086;2012-09-29;2012-10-13;Usaha Baru Damuli 1;500;Sak;Rapakoba;S Terms TOP 14 Day;20750004.93
SO03837;DN03037;INV02063;2012-09-29;2012-09-28;Fauzar Aek Loba 1;500;Sak;Rapakoba;S Terms CBD;20250003.48
SO03835;DN03042;INV02084;2012-09-29;2012-09-28;Tetap Jaya Kisaran 1;500;Sak;Serkibata;DO Terms;19750003.09
SO03834;DN03034;INV02060;2012-09-29;2012-09-28;Sinar Jaya T. Balai 1;500;Sak;Serkibata;S Terms CBD;20000000.48
SO03833;DN03035;INV02061-1;2012-09-29;2012-09-28;Bangun Sari Batu Bara 1;500;Sak;Serkibata;S Terms CBD;20000000.48
SO03830;DN03033;INV02059;2012-09-29;2012-09-28;Tunas Family T. Balai 1;500;Sak;Serkibata;S Terms CBD;20000000.48
SO03829;DN03036;INV02062;2012-09-29;2012-09-28;Naga Mas (Bintang Mas) Kisaran 1;500;Sak;Serkibata;S Terms CBD;20000000.49
SO03828;DN03050;INV02091;2012-09-29;2012-09-28;Asia Maju Rantau 1;500;Sak;Rapakoba;S Terms CBD;21000001.05
SO03824-1;DN03044;INV02085;2012-09-29;2012-10-24;Sukses Beton Medan 1;19820;Kg;Medan;S Terms TOP 25 Day;17639882.25
SO03804;DN03048;INV02089;2012-09-29;2012-09-28;Utama Bangunan Batubara 1;500;Sak;Serkibata;DO Terms;19750003.09
SO03827;DN03020;INV02067;2012-09-28;2012-09-27;Simalungun Traso Siantar 1;500;Sak;Sibatopasa;S Terms CBD;20000000.48
SO03826;DN03024;INV02071;2012-09-28;2012-09-27;Obor Siantar 1;500;Sak;Sibatopasa;S Terms CBD;20000000.48
SO03823;DN03023;INV02070;2012-09-28;2012-09-27;Sinar Jaya Binjai 1;500;Sak;Binlangkar;S Terms CBD;20250003.38
SO03822;DN03026;INV02073;2012-09-28;2012-09-27;Ikbal Jaya Martubung 1;500;Sak;Medan;S Terms CBD;20000000.48
SO03821;DN03028;INV02075;2012-09-28;2012-09-27;Permata Indah Patumbak 1;500;Sak;Medan;S Terms CBD;20000000.48
SO03820;DN03018;INV02049;2012-09-28;2012-10-12;Sigma Triple Block 1;500;Sak;Medan;S Terms TOP 14 Day;20125001.93
SO03819;DN03029;INV02076;2012-09-28;2012-10-12;Cahaya Mitra Abadi Marelan 1;500;Sak;Medan;S Terms TOP 14 Day;20150001.11
SO03818;DN03016;INV02045;2012-09-28;2012-10-12;Perdana Jaya Air Batu 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125001.93
SO03817;DN03017;INV02046;2012-09-28;2012-09-27;Rezeki Makmur T . Balai 1;500;Sak;Serkibata;S Terms CBD;20000000.48
SO03816;DN03030;INV02077;2012-09-28;2012-09-27;Sumber Pembangunan Aeknabara 1;500;Sak;Rapakoba;S Terms CBD;21250003.95
SO03815;DN03032;INV02079;2012-09-28;2012-09-27;Romorajunt Medan 1;500;Sak;Medan;S Terms CBD;21500001.34
SO03814;DN03031;INV02078;2012-09-28;2012-09-27;Reyeni Aeknabara 1;500;Sak;Rapakoba;S Terms CBD;19250002.80
SO03813;DN03021;INV02068;2012-09-28;2012-10-12;Maja Agung Galang 1;500;Sak;Tatemlukam;S Terms TOP 14 Day;20375004.83
SO03812;DN03025;INV02072-1;2012-09-28;2012-10-12;Immanuel Batu Bara 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125001.93
SO03811;DN03015;INV02044;2012-09-28;2012-09-27;Tetap Jaya Kisaran 1;500;Sak;Serkibata;DO Terms;19750003.09
SO03810;DN03019;INV02066;2012-09-28;2012-09-27;Utama Bangunan Batubara 1;500;Sak;Serkibata;DO Terms;19750003.09
SO03809;DN03022;INV02069;2012-09-28;2012-10-12;Putra Jaya Tebing 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125001.93
