Sales Order;Delivery Note;Invoice;Posting Date;Due Date;Customer;Qty;UOM;Territory;Sales Term;Sales Person;Grand Total
SO/2013/01036;DN/2013/01048;INV/2013/01039;2013-06-01;2013-06-22;Laris Jaya Kota Pinang 1;625;Sak 40kg;Rapakoba;S Terms TOP 21 Day;11;26875000.09
SO/2013/01038;DN/2013/01032;INV/2013/01023;2013-06-01;2013-06-22;Fariz Dolok Batu Nanggar 1;500;Sak 40kg;Serkibata;S Terms TOP 21 Day;8;20500000.13
SO/2013/01039;DN/2013/01031;INV/2013/01022;2013-06-01;2013-06-15;Naga Mas (Bintang Mas) Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;8;20250000.01
SO/2013/01040;DN/2013/01034;INV/2013/01025;2013-06-01;2013-06-15;Bahagia Jaya By pass 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20250000.1
SO/2013/01041;DN/2013/01033;INV/2013/01024;2013-06-01;2013-06-15;Nanda Nindi Medan 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20250000.09
SO/2013/01042;DN/2013/01036;INV/2013/01027;2013-06-01;2013-06-22;Sultan Makmur Medan 1;500;Sak 40kg;Medan;S Terms TOP 21 Day;9;20375000.1
SO/2013/01043;DN/2013/01042;INV/2013/01033;2013-06-01;2013-06-15;Karunia Jaya Bahagia 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20250000.1
SO/2013/01045;DN/2013/01045;INV/2013/01036;2013-06-01;2013-06-15;Makmur jaya Medan 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20375000.16
SO/2013/01046;DN/2013/01041;INV/2013/01032;2013-06-01;2013-06-15;Kembar Jaya Namorambe 1;500;Sak 40kg;Medan;S Terms TOP 14 Day;9;20250000.09
SO/2013/01047;DN/2013/01043;INV/2013/01034;2013-06-01;2013-06-22;Jaya Baru Tembung 1;500;Sak 40kg;Tatemlukam;S Terms TOP 21 Day;10;20500000.02
SO/2013/01048;DN/2013/01037;INV/2013/01028;2013-06-01;2013-06-15;Naga Mas (Bintang Mas) Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;8;20250000.17
SO/2013/01049;DN/2013/01039;INV/2013/01030;2013-06-01;2013-06-22;Immanuel Batu Bara 1;500;Sak 40kg;Serkibata;S Terms TOP 21 Day;8;20375000.09
SO/2013/01050;DN/2013/01046;INV/2013/01037;2013-06-01;2013-06-15;Sinar Mulia Tanjung Balai 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;8;20250000.03
SO/2013/01051;DN/2013/01035;INV/2013/01026;2013-06-01;2013-06-15;Saudara Jaya Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;8;20250000.01
SO/2013/01052;DN/2013/01047;INV/2013/01038;2013-06-01;2013-05-31;Utama Bangunan Batubara 1;500;Sak 40kg;Serkibata;DO Terms;8;19750000.06
SO/2013/01053;DN/2013/01044;INV/2013/01035;2013-06-01;2013-06-15;Kelvin Galang 1;500;Sak 40kg;Tatemlukam;S Terms TOP 14 Day;10;20300000.07
SO/2013/01054;DN/2013/01049;INV/2013/01040;2013-06-01;2013-06-22;Usaha Baru Damuli 1;625;Sak 40kg;Rapakoba;S Terms TOP 21 Day;11;26250000.09
SO/2013/01055;DN/2013/01038;INV/2013/01029;2013-06-01;2013-06-15;Indomas Kisaran 1;500;Sak 40kg;Serkibata;S Terms TOP 14 Day;8;20250000.01
SO/2013/01056;DN/2013/01040;INV/2013/01031;2013-06-01;2013-06-22;Surya Kencana Lubuk Pakam 1;500;Sak 40kg;Tatemlukam;S Terms TOP 21 Day;10;20625000.14
SO/2013/01057;DN/2013/01051;INV/2013/01042;2013-06-03;2013-06-24;Bintang Karya Mandiri Baganbatu 1;500;Sak 40kg;Rapakoba;S Terms TOP 21 Day;11;21875000.19
SO/2013/01059;DN/2013/01052;INV/2013/01043;2013-06-03;2013-06-17;Pelita Serbelawan 1;500;Sak 40kg;Sibatopasa;S Terms TOP 14 Day;8;20250000.01
SO/2013/01060;DN/2013/01056;INV/2013/01047;2013-06-03;2013-06-24;Anugerah Jaya Tanjung Tiram 1;500;Sak 40kg;Serkibata;S Terms TOP 21 Day;8;20500000.01
SO/2013/01061;DN/2013/01050;INV/2013/01041;2013-06-03;2013-06-02;Karya Ibunda Dolok Masihul 1;200;Sak 40kg;Serkibata;S Terms CBD;8;7800000
SO/2013/01064;DN/2013/01064;INV/2013/01055;2013-06-03;2013-06-17;Bima Maju Binjai 1;625;Sak 40kg;Binlangkar;S Terms TOP 14 Day;10;25312500.09
