Sales Order;Delivery Note;Invoice;Posting Date;Due Date;Customer;Qty;UOM;Territory;Sales Term;Grand Total
SO05501;DN04687;INV03719;2013-01-02;2013-02-01;Harapan Aulia Tembung 1;500;Sak;Tatemlukam;S Terms TOP 30 Day;20375000.77
SO05502;DN04691;INV03723;2013-01-02;2013-01-16;Usaha Baru Batangkuis 1;500;Sak;Tatemlukam;S Terms TOP 14 Day;20125000.44
SO05503;DN04692;INV03725;2013-01-02;2013-01-01;Harapan Jaya Alfalah 1;500;Sak;Medan;S Terms CBD;20000001.17
SO05505;DN04689;INV03721;2013-01-02;2013-01-01;Utama Bangunan Batubara 1;500;Sak;Serkibata;DO Terms;19650001.40
SO05507;DN04690;INV03722;2013-01-02;2013-01-01;Utama Bangunan Batubara 1;500;Sak;Serkibata;DO Terms;19650001.40
SO05508;DN04688;INV03720;2013-01-02;2013-01-16;Bangun Sari Batu Bara 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125000.44
SO05509;DN04686;INV03718;2013-01-02;2013-01-16;Bangun Sari Batu Bara 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125000.44
SO05511;DN04698;INV03731;2013-01-02;2013-01-16;Indomas Kisaran 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125000.44
SO05514;DN04696;INV03729;2013-01-02;2013-01-01;Tetap Jaya Kisaran 1;500;Sak;Serkibata;S Terms CBD;20000001.17
SO05516;DN04702;INV03735;2013-01-02;2013-01-01;Sinar Jaya Perbaungan 1;500;Sak;Serkibata;S Terms CBD;20000001.17
SO05517;DN04693;INV03726;2013-01-02;2013-01-01;Sinar Jaya Perbaungan 1;500;Sak;Serkibata;S Terms CBD;20000001.17
SO05518;DN04694;INV03727;2013-01-02;2013-01-16;Antara Jaya Simpang Kawat 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125000.44
SO05519;DN04701;INV03734;2013-01-02;2013-01-01;Hartono Perdagangan 1;500;Sak;Serkibata;S Terms CBD;19150000.09
SO05520;DN04699;INV03732;2013-01-02;2013-01-16;Indomas Kisaran 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125000.44
SO05521;DN04703;INV03736;2013-01-02;2013-01-16;Indomas Kisaran 1;500;Sak;Serkibata;S Terms TOP 14 Day;20125000.44
